proposal_id,sentence_id,text,label
19,1,"El centro turistico y comercial de Madrid esta solo a 700 metros de la Casa de Campo y de Madrid Rio, pero las conexiones a el son terribles.",1
19,2,Propongo unirlo con calles peatonales y arboladas.,0
43,1,"El muralismo tiene un enorme potencial porque implica la construccion de valores como la ciudadania, el respeto por nuestro espacio y el compromiso del trabajo en equipo.",1
50,1,"Ir en bicicleta por la Castellana es peligroso, y dado que hay suficiente espacio en el bulevar peatonal o en la calzada lateral seria sencillo y barato hacer un carril bici.",1
54,1,"El Anillo Ciclista rodea la ciudad, pero su uso es solo ludico o deportivo.",1
54,2,Un sistema de carriales radiales crearia una infraestructura de movilidad mas practica.,0
55,1,"Las zonas de aparcamiento regulado, estan 'bien' para evitar un uso desmesurado del vehiculo en el centro de Madrid y si lo necesitas, encontrar aparcamiento, pero ....",0
72,1,"Regularizacion de horaraios en comercios domingos y festivos, ya que los trabajadores estan actualmente soportando turnos que no permiten disfrutar de la vida familiar",1
80,1,Seria posible enviar agentes sociales o publicidad para educar en la convivencia ya que hay muchos colectivos diferentes en el barrio.,1
80,2,Ensenar normas basicas de educacion?,0
112,1,Muchos vecinos trabajamos todo el dia y regresamos a nuestras casas para descansar.,0
112,2,Muchas veces esto es imposible porque la ley actual permite que se ponga la musica alta a horas poco apropiadas.,1
168,1,"Todos los jubilados madrilenos deberian para ellos ser gratuito el transporte, bastante han contribuido cuando trabajaban , pero si no puede ser asi al menos los que tienen una pension baja .",1
177,1,"Creo en la realizacion de cualquier tipo de actividad economica siempre y cuando se ajusten a la legalidad vigente, pero mi propuesta viene dada por la suciedad que genera dicha 'actividad ilegal'",0
185,1,"Ampliar el area de recogida y devolucion de bicis de alquiler por lo menos a las grandes calles, ya que ahora solo se puede usar en la zona centro.",1
191,1,"Eliminar los toros de MADRID, ayudar a las comunidades de gatos a una mejor vida, ya que en muchos distritos hacen un bien.",1
207,1,Que cada comunidad de vecinos tenga un contenedor propio que saca cada noche es muy poco eficiente y es una de las razones de porque esta tan sucia y se recicla tan poco en esta ciudad.,1
208,1,Que se acabe con las invitaciones a los teatros publicos: sea quien sea que pague por ver una representacion; existen dias mas economicos para conseguir localidades pero nada justifica el hecho de que vayan algunos gratis con el dinero de todos.,0
216,1,"Es absurdo seguir viendo como se mata un ser vivo en fiestas patronales, asi pues mas musica para CULTURIZAR y un NO rotundo a MATAR.",0
241,1,Cada vez es mas frecuente escuchar que alguien ha resultado herido porque se le ha caido una rama de un arbol encima.,1
294,1,Propongo la eliminacion de la tasa de basuras para el propietario de una plaza de garaje porque no esta acreditado que en la misma se generen bolsas de basura con coste para el servicio de limpieza.,1
306,1,"Madrid y la region tiene una excesiva contaminacion luminica que hay que empezar a subsanar, ya que afecta tanto a la vida animal como a la salud de las personas, por eso es necesario reducirla.",1
308,1,"En Madrid hay cientos de alcorques vacios, bien sea porque murio el arbol plantado o porque no se planto ninguno.",1
308,2,"Por que se mantienen asi, sin usarlos para plantar un nuevo arbol?",0
310,1,Nacemos desnudos pero no nos dejan vivir desnudos.,1
310,2,"Madrid puede ser una ciudad mas natural y amable si se eliminan todas las ordenanzas que impiden circular desnudos por la via publica, parques y ja",0
314,1,El Hospital Clinico San Carlos es el Hospital de Refrencia de un gran numero de madrilenos.,0
314,2,"Al igual que el Hospital de la Defensa dispone de Parking exclusivo de Urgencias, Intervenciones Ambulatorias, Consultas y Familiares de pacientes ingresados (maximo dos coches por familiar) propongo que se cierre los accesos del Clinico para que todo el aparcamiento circundante sea exclusivo para los usuarios del mismo y Gratuito.",0
314,3,Esta propuesta deberia de ser extensible a todos los Hospitales de Madrid (se que depende de la CM pero el suelo circundante es del Ayuntamiento) ya es suficiente estar enfermo que encima tienes que preocuparte por el aparcamiento.,0
329,1,"Todos hemos sido conscientes a lo largo de los ultimos anos de los delitos fiscales y economicos que algunas empresas han cometido impunemente, pero los ayuntamientos han seguido contratandolas.",1
334,1,"Eliminar dichas farolas, pues suponen un atentado visual contra la escultura de Andreu Alfaro (grandes arcos metalicos) que da caracter a la plaza.",1
340,1,"Crear un Instituto al menos para nuestros hijos en el barrio de las Tablas, dado que existen muchos colegios, pero no Instituto.",1
358,1,"Demostrar a Cataluna que Madrid quiere que sigamos juntos, porque somos mayoria los que respetamos su cultura y su idioma.",1
364,1,Los espacios de las bibliotecas municipales estan desaprovechados ya que cuando tienes mas tiempo para ir y poder leer con concentracion y dedicacion la mayoria de las bibliotecas estan cerradas.,1
392,1,"Que haya un servicio especial de metro y/o tren 24 horas, ya que si el avion llega mas tarde de la 1:30 las unicas opciones son un autobus 24h que te deja por la zona centro o taxi.",1
439,1,Son como champinones.,0
439,2,Aparecen en cuestion de dias.,0
439,3,"Distintos colores, mensajes, siglas... Dono ropa usada en buen estado, pero que uso final se le dara?",0
440,1,"Todas las mananas de los dias laborales, se forma un atasco en Vicalvaro, en el acceso a la M40 norte, en la rotonda de la M40 Ctra de Canillejas a Vicalvaro, porque los conductores que provienen de San Blas, abusan de su prioridad, y se paran en las zonas de interseccion de la rotonda, impidiendo el paso a los vecinos de Vicalvaro.",1
440,2,"Este abuso de prioridad, hace que apenas haya atasco en San Blas para acceder a la M40 norte, mientras que el atasco en Vicalvaro suele llegar hasta la Pza de la Vicalvarada.",0
440,3,"Instalando semaforos inteligentes en esta rotonda, se distribuirian equitativamente los atascos en ambos barrios.",0
471,1,Las terrazas de verano no deberian estar abiertas hasta las 2:00 de la madrugada ya que impiden dormir a las personas que quieren descansar o tienen necesidad de madrugar.,1
473,1,"Promover la investigacion, el desarrollo, y la aplicacion del Diseno para Todos, para garantizar la accesibilidad de las personas de movilidad reducida, en aquellos edificios, infraestructuras o vehiculos, que carecen de espacio para instalar una rampa de baja pendiente, como alternativa a ascensores o salvaescaleras (porque esten vedados por emergencia o averia, o porque ni siquiera estan instalados).",1
477,1,"Facilitar tarjeta de residente (zona verde) xa conductores habituales de un vehiculo aunque este no este a su nombre xa su zona de residencia, por ejemplo presentando la poliza del seguro y el padron",1
496,1,"Dividir el Madrid Rio, entre peatones y bicicletas, porque en la actualidad, al ser un camino peatonal ciclable, hay problemas, ya que los peatones abusan de 'su supuesta prioridad' en el Madrid Rio.",1
503,1,"Si un artista callejero es bueno recibira el apoyo economico de los ciudadanos, si no lo es pues libremente cambiara de actividad.",1
503,2,Que no sea la administracion la quien decida quien si y quien no,0
507,1,"Crear zonas de grandes edificios como ocurre en la Castellana norte (y con su ampliacion ya propuesta), pero en la zona Sur de Madrid para equilibrar economicamente los barrios ricos del norte.",0
514,1,Durante muchos anos hemos oido estas propuestas pero nunca se han puesto en marcha.,0
514,2,"Policias que sean conocidos por los vecinos y ellos conozcan el barrio y sus vecinos, comerciantes etc.",0
535,1,"Me gustaria solicitar una estacion de metro en la zona de Orcasitas, el metro llega ya a muchos pueblos de Madrid, pero en la ciudad hay barrios como el mio q no lo tienen.",1
535,2,Muchas gracias.,0
538,1,"La Palma es una de las calles mas emblematicas del barrio de Malasana, llena de cafes, galerias de arte, escuelas etc pero es imposible la convivencia en ella de peatones y coches pues es muy estrecha",1
564,1,"Ampliar los puntos de recogida selectiva con un modulo de manera que ademas de papel y vidrio, exista otro para dejar pequenos objetos que ya no son utiles, pero estan en perfecto uso.",0
585,1,"Es una pena que invertimos mucho presupuesto en obras pero cuando estas acaban no se hace un seguimiento de como han acabado o si existen vicios ocultos, que es lo que ocurre con las aceras.",0
589,1,"En el parque de cuna verde no se encuentra ningun lugar de ocio para adolescentes y jovenes, por eso propongo la construccion de unas pistas de skate ya que este deporte lo practicamos mucho.",1
590,1,Habilitar un parque para los perros sueltos sin miedo a las multas a cualquier hora del dia ya que x ejem el parque del casino de la reina da asco pasear ya que siempre esta lleno de basura.,1
595,1,"Creacion de una nueva linea circular de Madrid que cubra los barrios que bordean la M-40 como la Linea 6 pero que abarque otras zonas de Madrid, ahorrar tiempo y trasbordos innecesarios",0
